name,age,gender,language
audiomarkdata_eu_21689570.mp3,teens,female,Basque
audiomarkdata_eu_39107287.mp3,teens,female,Basque
audiomarkdata_eu_39423268.mp3,teens,female,Basque
audiomarkdata_eu_21701783.mp3,teens,female,Basque
audiomarkdata_eu_38768171.mp3,teens,female,Basque
audiomarkdata_eu_21735733.mp3,teens,female,Basque
audiomarkdata_eu_21689443.mp3,teens,female,Basque
audiomarkdata_eu_21653543.mp3,teens,female,Basque
audiomarkdata_eu_21746260.mp3,teens,female,Basque
audiomarkdata_eu_21689552.mp3,teens,female,Basque
audiomarkdata_eu_21745898.mp3,teens,female,Basque
audiomarkdata_eu_21653705.mp3,teens,female,Basque
audiomarkdata_eu_21733960.mp3,teens,female,Basque
audiomarkdata_eu_39176905.mp3,teens,female,Basque
audiomarkdata_eu_38768182.mp3,teens,female,Basque
audiomarkdata_eu_21653695.mp3,teens,female,Basque
audiomarkdata_eu_39536311.mp3,teens,female,Basque
audiomarkdata_eu_21733952.mp3,teens,female,Basque
audiomarkdata_eu_21652325.mp3,teens,female,Basque
audiomarkdata_eu_39426149.mp3,teens,female,Basque
audiomarkdata_eu_21746279.mp3,teens,female,Basque
audiomarkdata_eu_21701762.mp3,teens,female,Basque
audiomarkdata_eu_39107526.mp3,teens,female,Basque
audiomarkdata_eu_39575422.mp3,teens,female,Basque
audiomarkdata_eu_39426165.mp3,teens,female,Basque
audiomarkdata_eu_38831499.mp3,teens,female,Basque
audiomarkdata_eu_21652194.mp3,teens,female,Basque
audiomarkdata_eu_37906003.mp3,teens,female,Basque
audiomarkdata_eu_38770198.mp3,teens,female,Basque
audiomarkdata_eu_39249736.mp3,teens,female,Basque
audiomarkdata_eu_21689528.mp3,teens,female,Basque
audiomarkdata_eu_21653096.mp3,teens,female,Basque
audiomarkdata_eu_21746152.mp3,teens,female,Basque
audiomarkdata_eu_21651992.mp3,teens,female,Basque
audiomarkdata_eu_38770018.mp3,teens,female,Basque
audiomarkdata_eu_38768432.mp3,teens,female,Basque
audiomarkdata_eu_21733902.mp3,teens,female,Basque
audiomarkdata_eu_21735488.mp3,teens,female,Basque
audiomarkdata_eu_39508263.mp3,teens,female,Basque
audiomarkdata_eu_21689439.mp3,teens,female,Basque
audiomarkdata_eu_39249716.mp3,teens,female,Basque
audiomarkdata_eu_39536309.mp3,teens,female,Basque
audiomarkdata_eu_21689518.mp3,teens,female,Basque
audiomarkdata_eu_21651995.mp3,teens,female,Basque
audiomarkdata_eu_18610020.mp3,teens,female,Basque
audiomarkdata_eu_21701771.mp3,teens,female,Basque
audiomarkdata_eu_39426161.mp3,teens,female,Basque
audiomarkdata_eu_39249655.mp3,teens,female,Basque
audiomarkdata_eu_21689400.mp3,teens,female,Basque
audiomarkdata_eu_21746641.mp3,teens,female,Basque
audiomarkdata_eu_39536310.mp3,teens,female,Basque
audiomarkdata_eu_38632406.mp3,teens,female,Basque
audiomarkdata_eu_39340323.mp3,teens,female,Basque
audiomarkdata_eu_38740423.mp3,teens,female,Basque
audiomarkdata_eu_21689684.mp3,teens,female,Basque
audiomarkdata_eu_21701699.mp3,teens,female,Basque
